Fine aggregate (kg/m3),Coarse aggregate (kg/m3),molarity,NaOh(kg/m3),Na2SiO3,GGBS,fly ash,Water,superplastisizer,curing temp,DAYS,compressive strength
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,28,44.1
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,56,59.4
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,90,61.8
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,7,32.9
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,28,47.5
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,56,61.6
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,90,64.3
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,7,35.6
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,28,50.4
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,56,64.3
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,90,66.4
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,7,31.5
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,28,46.8
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,56,62.6
609,1221,10,47.1,117.15,146.1,271.34,215,0,25,90,64.5
,,,,,,,,,,,
,,,,,,,,,,,
681,1111,10,22.3,68,370,0,0,0,25,28,56
681,1111,10,32.4,99,357,0,0,0,25,28,72
681,1111,10,41.63,127,345,0,0,0,25,28,82
681,1111,10,32.4,99,357,0,0,0,25,28,71.5
681,1111,10,32.4,99,268,89,0,0,25,28,65
681,1111,10,32.4,99,179,179,0,0,25,28,57.5
,,,,,,,,,,,
,,,,,,,,,,,
660,1178,8,49,122,76,304,0,0,25,7,20
660,1178,8,49,122,76,304,0,0,25,28,39
660,1178,8,49,122,76,304,0,0,25,7,22
660,1178,8,49,122,76,304,0,0,25,28,43
660,1178,8,49,122,76,304,0,0,25,7,20
660,1178,8,49,122,76,304,0,0,25,28,40
660,1178,8,49,122,0,380,0,0,25,7,15
660,1178,8,49,122,0,380,0,0,25,28,31
660,1178,8,49,122,38,342,0,0,25,7,19
660,1178,8,49,122,38,342,0,0,25,28,38
660,1178,8,49,122,114,266,0,0,25,7,21
660,1178,8,49,122,114,266,0,0,25,28,43
660,1178,8,49,113,79,315,0,0,25,7,21
660,1178,8,49,113,79,315,0,0,25,28,42
660,1178,8,49,131,74,294,0,0,25,7,20
660,1178,8,49,131,74,294,0,0,25,28,39
660,1178,8,49,103,76,304,0,0,25,7,21
660,1178,8,49,103,76,304,0,0,25,28,40.5
,,,,,,,,,,,
651,1209,14,45.7,114.3,0,400,0,0,22,3,4
651,1209,14,45.7,114.3,0,400,0,0,22,7,16
651,1209,14,45.7,114.3,0,400,0,0,22,28,25
651,1209,14,45.7,114.3,0,400,0,0,22,56,30
651,1209,14,45.7,114.3,40,360,0,0,22,3,13
651,1209,14,45.7,114.3,40,360,0,0,22,7,22
651,1209,14,45.7,114.3,40,360,0,0,22,28,36
651,1209,14,45.7,114.3,40,360,0,0,22,56,38
651,1209,14,45.7,114.3,80,320,0,0,22,3,20
651,1209,14,45.7,114.3,80,320,0,0,22,7,28
